,0,
1589 RT-ZI Gnb3 Gaba_2,#876eb1,
2979 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#bc7c00,
3004 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,#d6a3b5,
2974 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#bf6026,
2666 TH Prkcd Grin2c Glut_7,#d6efa5,
2611 LH Pou4f1 Sox1 Glut_4,#ff4bed,
3646 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#e2b391,
3606 PRT Tcf7l2 Gaba_1,#4b5dc6,
3653 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#ffcfb5,
2981 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#794985,
3633 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#b8496b,
2912 PRC-PAG Tcf7l2 Irx2 Glut_2,#e2412f,
1974 LGv-ZI Otx2 Gaba_1,#8e6d49,
3001 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_10,#830075,
1829 PVHd-DMH Lhx6 Gaba_2,#9cf7db,
3649 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,#0ce8a1,
1733 ZI Pax6 Gaba_3,#799eaf,
1771 ZI Pax6 Gaba_8,#677eca,
1722 ZI Pax6 Gaba_1,#602441,
2978 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#774401,
2923 PRC-PAG Tcf7l2 Irx2 Glut_5,#f2dd00,
2842 APN C1ql2 Glut_1,#60ff62,
1754 ZI Pax6 Gaba_6,#e6af00,
1625 PVHd Gsc Gaba_1,#a76b9a,
2935 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#05aaeb,
2962 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#c8e6f2,
3603 PRT Tcf7l2 Gaba_1,#9c3190,
2852 APN C1ql4 Glut_1,#c879dd,
3618 PRT Tcf7l2 Gaba_3,#4b526b,
2922 PRC-PAG Tcf7l2 Irx2 Glut_5,#7249bc,
1988 LGv-ZI Otx2 Gaba_5,#5e3f28,
2904 PRC-PAG Tcf7l2 Irx2 Glut_1,#e4643b,
3384 ND-INC Foxd2 Glut_1,#2f5726,
2970 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#5b7c80,
1765 ZI Pax6 Gaba_7,#590f01,
1714 ZI Pax6 Gaba_1,#009789,
3655 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#075e77,
2854 APN C1ql4 Glut_1,#af8c46,
2948 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#93d190,
3637 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#69b582,
2951 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#a8ba4b,
1744 ZI Pax6 Gaba_4,#ac3b2f,
2990 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#e27ea3,
2780 IF-RL-CLI-PAG Foxa1 Glut_5,#382d00,
1641 PVHd-SBPV Six3 Prox1 Gaba_3,#b8b68a,
3000 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_10,#e400e2,
1741 ZI Pax6 Gaba_4,#c16e72,
3661 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_5,#856de1,
1783 ZI Pax6 Gaba_11,#af5dd4,
1785 ZI Pax6 Gaba_11,#57502a,
2969 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#9e90af,
2647 CM-IAD-CL-PCN Sema5b Glut_5,#e65db1,
2889 MRN Pou3f1 C1ql4 Glut_1,#4f6993,
2926 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#90a1e9,
1594 RT-ZI Gnb3 Gaba_3,#a1c6ff,
1818 PVHd-DMH Lhx6 Gaba_1,#464800,
3647 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,#ffbc77,
1731 ZI Pax6 Gaba_3,#e9a3d4,
3644 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#a300c3,
2708 MG-POL-SGN Nts Glut_2,#4687ff,
1680 AHN-SBPV-PVHd Pdrm12 Gaba_7,#4b8ea5,
2977 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#792d36,
1983 LGv-ZI Otx2 Gaba_4,#d6c3eb,
1679 AHN-SBPV-PVHd Pdrm12 Gaba_7,#4b6449,
1629 PVHd-SBPV Six3 Prox1 Gaba_1,#fb7cff,
2924 PRC-PAG Tcf7l2 Irx2 Glut_5,#d88e38,
1985 LGv-ZI Otx2 Gaba_5,#da546e,
1773 ZI Pax6 Gaba_8,#a5c4a8,
3353 PAG Tcf24 Glut_1,#75bc4f,
2594 MH Tac2 Glut_4,#6b05e8,
1982 LGv-ZI Otx2 Gaba_4,#c6e83d,
1987 LGv-ZI Otx2 Gaba_5,#c14100,
1737 ZI Pax6 Gaba_3,#337c3d,
1671 AHN-SBPV-PVHd Pdrm12 Gaba_5,#9e9e46,
2941 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,#4fb5af,
1756 ZI Pax6 Gaba_6,#a15d6e,
2995 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_9,#213400,
1778 ZI Pax6 Gaba_9,#802f59,
1973 LGv-ZI Otx2 Gaba_1,#ffd1e8,
2847 APN C1ql2 Glut_1,#ff803d,
2885 MRN Pou3f1 C1ql4 Glut_1,#b8005b,
1726 ZI Pax6 Gaba_2,#386e64,
1632 PVHd-SBPV Six3 Prox1 Gaba_1,#972a00,
1721 ZI Pax6 Gaba_1,#7cb8d3,
1977 LGv-ZI Otx2 Gaba_2,#004b33,
1727 ZI Pax6 Gaba_2,#5e3a80,
3005 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,#3fa316,
2739 PRC-PAG Pax6 Glut_2,#ac93eb,
1972 LGv-ZI Otx2 Gaba_1,#0054c1,
2844 APN C1ql2 Glut_1,#93ffba,
1953 DMH Hmx2 Gaba_5,#727046,
2913 PRC-PAG Tcf7l2 Irx2 Glut_2,#799c7e,
1776 ZI Pax6 Gaba_9,#4400c4,
2927 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#cd85bc,
2971 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#00eb01,
2754 MB-ant-ve Dmrta2 Glut_1,#f2ffd1,
1816 PVHd-DMH Lhx6 Gaba_1,#afc6db,
2907 PRC-PAG Tcf7l2 Irx2 Glut_1,#995444,
2843 APN C1ql2 Glut_1,#60006e,
2982 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#d1b65b,
1738 ZI Pax6 Gaba_3,#cd7e57,
1716 ZI Pax6 Gaba_1,#97ddd4,
2841 APN C1ql2 Glut_1,#8987bf,
1981 LGv-ZI Otx2 Gaba_4,#628023,
1952 DMH Hmx2 Gaba_5,#008e64,
1814 PVHd-DMH Lhx6 Gaba_1,#216701,
3657 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#c35dba,
3634 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#ff9ab5,
2937 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#cd2846,
1675 AHN-SBPV-PVHd Pdrm12 Gaba_6,#c33489,
3740 SCs Dmbx1 Gaba_5,#6264fd,
1681 AHN-SBPV-PVHd Pdrm12 Gaba_7,#80708e,
3241 SCig-an-PPT Foxb1 Glut_1,#aa8297,
2998 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_9,#00749c,
3470 IC Six3 En2 Gaba_1,#7b525b,
1800 DMH-LHA Gsx1 Gaba_2,#89003d,
1976 LGv-ZI Otx2 Gaba_1,#4dfdff,
1975 LGv-ZI Otx2 Gaba_1,#8201cf,
1757 ZI Pax6 Gaba_6,#ffcd44,
1631 PVHd-SBPV Six3 Prox1 Gaba_1,#7c5900,
2735 PRC-PAG Pax6 Glut_2,#4d230c,
3804 SCsg Gabrr2 Gaba_1,#5044a1,
